图书ID,书名,作者,出版社,是否借出
556,大空头,(美) 迈克尔·刘易斯著,中信出版社,0
557,巴菲特写给子女的10个投资忠告,林汶奎编著,百花洲文艺出版社,0
558,大而不倒:经典版,(美) 安德鲁·罗斯·索尔金著,四川人民出版社,0
559,金融帝国贝莱德:eine heimliche Weltmacht greift nach unserem Geld,(德) 海克·布赫特著,中国人民大学出版社,0
560,美联储的诞生,(美) 罗杰·洛温斯坦著,浙江大学出版社,0
561,巴菲特的午餐会,正子编绘,中国人民大学出版社,0
562,巴菲特投资策略,唐汶主编,中央编译出版社,0
563,声誉至死:重构华尔街的金融信用体系:how integrity has been destroyed on Wall Street,(美) 乔纳森·梅西著,中国人民大学出版社,0
564,银行的秘密:揭开美联储的神秘面纱,(美) 默里·罗斯巴德著,清华大学出版社,0
565,国内政治与美国的外资政策,吴其胜著,上海人民出版社,0
566,财富雪球:10年10倍的价值投资要义,金鑫著,机械工业出版社,0
567,行动的勇气:金融风暴及其余波回忆录:a memoir of crisis and its aftermath,(美) 本·伯南克著,中信出版社,0
568,手持柴火的灭火人:美联储:= The Federal Reserve System,(美) 理查德·罗伯茨著,东方出版社,0
569,金融霸权:从巅峰走向破产,(美) 威廉·恩道尔著,中国民主法制出版社,0
570,美国金融危机调查报告,美国金融危机调查委员会著,中信出版社,0
571,科技档案管理学,华林著,中国社会科学出版社,0
572,电子文件管理教程,冯惠玲主编,中国人民大学出版社,0
573,西夏文书种类功用及体式研究,赵彦龙著,上海古籍出版社,0
574,明代文书档案制度研究,秦国经著,故宫出版社,0
575,科学社会学:理论与经验研究,(美) R. K. 默顿著,商务印书馆,0
576,局外人看科学,(英) 巴里·巴恩斯著,东方出版社,0
577,科学知识与社会学理论,(英) 巴里·巴恩斯著,东方出版社,0
578,美丽科学:科学图像审美研究,崔之进著,东南大学出版社,0
579,科技与社会,潘建红等编著,武汉大学出版社,0
580,冲突与协调:科学合理性新论,马雷著,商务印书馆,0
581,无穷的开始:世界进步的本源:explanations that transform the world.第2版,(英) 戴维·多伊奇著,人民邮电出版社,0
582,科学精神的形成,(法) 加斯东·巴什拉著,江苏教育出版社,0
583,科学社会学理论与方法,(英) 迈克尔·马尔凯著,商务印书馆,0
584,科学社会学,宋琳编著,中国科学技术出版社,0
585,什么是科学.第2版,吴国盛著,商务印书馆,0
586,英文科技论文写作与发表,张康编著,清华大学出版社,0
587,高质量SCI论文入门必备:从选题到发表,关小红主编,化学工业出版社,0
588,SCI图像语法:科技论文配图设计实用技巧,宋元元著,科学出版社,0
589,技术社会角色引论,王秀华著,中国社会科学出版社,0
590,自然的政治:如何把科学带入民主,(法) 布鲁诺·拉图尔著,河南大学出版社,0
591,蛋先生的学术生存,施爱东著,上海文艺出版社,0
592,什么是技术,胡翌霖著,湖南科学技术出版社,0
593,世界顶级科技研发机构英国卡文迪什实验室成功之道,阎康年著,广东教育出版社,0
594,人: 学术者,(法) P.波丢著,贵州人民出版社,0
595,翻译与搜索教程,张成智编著,知识产权出版社,0
596,学术搜索:从入门到精通,郭劲赤著,上海社会科学院出版社,0
597,陶行知德育思想探索,敬良斌著,电子科技大学出版社,0
598,他者伦理视野中的道德教育,吴先伍著,上海三联书店,0
599,为21世纪培育教师和学校领导者:来自世界的经验,(德) 安德烈亚斯·施莱克尔主编,北京大学出版社,0
600,高手教师,魏智渊著,华东师范大学出版社,0
601,教育人力资源管理的研究与实践:基于承诺型人力资源管理模式的探索,赵殿涛等著,首都师范大学出版社,0
602,至善西行 廿念不忘:东南大学研究生支教团二十年,主编邢纪红,东南大学出版社,0
603,澳门教育制度与受教育权保护,张雪莲著,社会科学文献出版社,0
604,台湾教育:从日据到光复,黄新宪著,上海人民出版社,0
605,学以为己:传统中国的教育,李弘祺著,华东师范大学出版社,0
606,新世纪的曙光:晚清新式教育活动研究:1840-1911,李忠著,华中科技大学出版社,0
607,清季民初的学制、学堂与经学,朱贞著,社会科学文献出版社,0
608,中国新教育的萌芽与成长:1860-1928,苏云峰著,北京大学出版社,0
609,中国近代教育史资料汇编,陈元晖主编,上海教育出版社,0
610,唐代教育与文学,郭丽著,中国社会科学出版社,0
611,南京教育史.第2版,徐传德主编,商务印书馆,0
612,宋代文学视域下的太学制度研究,牛思仁著,凤凰出版社,0
613,中国教育史,陈青之著,上海书店出版社,0
614,制造白痴:电子产品如何威胁下一代:les dangers des ecranspour nos enfants,(法) 米歇尔·德米尔热著,广东旅游出版社,0
615,学习型社会,(美) 罗伯特·赫钦斯著,社会科学文献出版社,0
616,学习的力量:投入式学习法专家的学习秘诀,(韩) 黄农文著,清华大学出版社,0
617,学习之道.第2版,(美) 乔希·维茨金著,中国青年出版社,0
618,成为学习高手:清华博士的高效学习秘籍,和渊著,人民邮电出版社,0
619,学习究竟是什么,万维钢著,新星出版社,0
620,如何学习,(美) 本尼迪克特·凯里著,浙江人民出版社,0
621,无限可能:快速唤醒你的学习脑,(美) 吉姆·奎克著,人民邮电出版社,0
622,学习高手,李柘远著,北京联合出版公司,0
623,超级学习者,(加) 斯科特·H.扬著,机械工业出版社,0
624,学习的方法:一位诺贝尔奖获得者的人生忠告,(西)圣地亚哥·拉蒙-卡哈尔著,天地出版社,0
625,学习精进:如何成为一个会学习的人,黄河清著,北京大学出版社,0
626,有效学习,(美) 乌尔里希·伯泽尔著,中信出版集团股份有限公司,0
627,关键20小时，快速学会任何技能！,(美) 乔希·考夫曼著,机械工业出版社,0
628,学习没那么难:北大10博士给优秀学子的人生、求学计划书,彭翔编著,朝华出版社,0
629,自学大全,(日) 读书猴著,文汇出版社,0
630,高效学习，从来都不靠熬,time刚刚好著,陕西科学技术出版社,0
631,学会学习:strengthening study skills and brain power,(美) Gloria Frender著,电子工业出版社,0
632,学习的本质,(法) 安德烈·焦尔当著,华东师范大学出版社,0
633,深度学习:超越21世纪技能:beyond 21st century skills,(美) 詹姆斯·A·贝伦卡主编,华东师范大学出版社,0
634,移动学习的影响因素与优化研究,赵慧臣等著,科学出版社,0
635,深度学习:彻底解决你的知识焦虑,(日) 今井睦美著,北京联合出版公司,0
636,黑匣子思维:我们如何更理性地犯错:the surprising truth about success,(英) 马修·萨伊德著,江西人民出版社,0
637,购书单:小说和小说家,秦巴子著,广西师范大学出版社,0
638,阅读是最好的独处,黄桂元著,北京时代华文书局,0
639,如何有效阅读一本书:超实用笔记读书法,(日) 奥野宣之著,江西人民出版社,0
640,阅读力提升:理论与实践,刘舸 ... [等] 著,中国社会科学出版社,0
641,阅读的力量,(日) 斋藤孝著,鹭江出版社,0
642,如何高效阅读一本书,廖一航编,辽宁人民出版社,0
643,读书写作:能力提升训练,柏淘主编,太白文艺出版社,0
644,读写一致:阅读与写作的步骤和技巧:an integrated approach to reading and writing,(美)凯瑟琳·T. 麦克沃特(Kathleen T. McWhorter)著,西苑出版社,0
645,如何高效阅读一本书,彭清清著,中国纺织出版社有限公司,0
646,读书是一辈子的事,樊登著,北京联合出版公司,0
647,阅读的方法,罗振宇著,新星出版社,0
648,笔记,沈胜衣,上海辞书出版社,0
649,如何再次拿起书,(美) 艾伦·雅各布斯著,中信出版集团股份有限公司,0
650,谈读书,朱光潜著,万卷出版公司,0
651,吴军阅读与写作讲义,吴军著,新星出版社,0
652,进一寸就有欢喜:胡适谈读书,胡适著,中国文史出版社,0
653,秋叶: 如何高效读懂一本书,秋叶著,北京联合出版公司,0
654,视觉笔记:如何高效阅读一本书,詹茜著,北京联合出版公司,0
655,如何阅读一本书,石涛编,新世界出版社,0
656,读书与写作,李公朴编,知识产权出版社,0
657,如何阅读一本书,轻阅读编写组编著,民主与建设出版社,0
658,可以提高记忆力和思考力的读书法,(日) 木山泰嗣著,中国青年出版社,0
659,海绵阅读法:如何吸收一本书的精华,李小墨著,人民邮电出版社,0
660,快时代的慢阅读,(美国) 大卫·米基克斯著,译林出版社,0
661,实用性阅读指南:把读到的知识转化成能力,(日) 大岩俊之著,江西人民出版社,0
662,阅读轧记,朱同芳主编,南京出版社,0
663,怎样读书,胡适等著,生活·读书·新知三联书店,0
664,阅读的历史,(新西兰) 史蒂文·罗杰·费希尔著,商务印书馆,0
665,阅读史,(加) 阿尔维托·曼古埃尔著,商务印书馆,0
666,王者速读法,(日) 齐藤英治著,浙江教育出版社,0
667,学术论文的创造性阅读,汤建民著,浙江大学出版社,0
668,阅读的乐趣,(美) 艾伦·雅各布著,译林出版社,0
669,麦肯锡精英高效阅读法,(日) 赤羽雄二著,民主与建设出版社有限责任公司,0
670,深度阅读:分科阅读的思维与技能:college major and career applications,(美)凯瑟琳·T. 麦克沃特著,西苑出版社,0
671,学会阅读:基础方法与批判性思维,(美) 凯瑟琳·T. 麦克沃特著,西苑出版社,0
672,高效阅读:灵活、策略与技巧,(美) 凯瑟琳·T. 麦克沃特著,西苑出版社,0
673,因为至性，所以动人:梁漱溟谈读书,梁漱溟著,中国文史出版社,0
674,好书不厌百回读:朱光潜谈读书,朱光潜著,中国文史出版社,0
675,國語動介詞.Coverbs in spoken Chinese.台初版,張強仁著,正中,0
676,词汇与句法计量研究,黄伟等著,浙江大学出版社,0
677,否定标记的句法位置及相关问题考察,马宏程著,中国社会科学出版社,0
678,礼貌语用研究:理论与实践的多侧面剖析,(英) 海伦·斯宾塞·奥蒂等著,吉林大学出版社,0
679,金字塔原理:思考、表达和解决问题的逻辑.第3版,(美) 芭芭拉·明托著,南海出版公司,0
680,金字塔原理:实战篇:全面提升思考、表达和解决问题的能力.第3版,(美) 芭芭拉·明托著,南海出版公司,0
681,如何写出一篇好文章:不动笔就能学会写文章的训练法,(日) 山口拓朗著,中国青年出版社,0
682,金字塔原理:思考、表达和解决问题的逻辑,(美)芭芭拉·明托著,南海出版公司,0
683,学术写作指南:a handbook for international students,(英) 斯蒂芬·贝利著,中国人民大学出版社,0
684,金字塔原理:思考、写作和解决问题的逻辑-第2版,(美) 巴巴拉·明托著,民主与建设出版社,0
685,文思泉涌:如何克服学术写作拖延症:a practical guide to productive academic writing,保罗·J. 席尔瓦著,上海教育出版社,0
686,文学论文写作指南,火源编著,北京邮电大学出版社,0
687,论证是一门学问:如何让你的观点有说服力,(英) 安东尼·韦斯顿著,新华出版社,0
688,金字塔原理2:实用训练手册,(美) 芭芭拉·明托著,南海出版公司,0
689,学术写作原来是这样:语言、逻辑和结构的全面提升,易莉著,机械工业出版社,0
690,如何做好文献综述,阿琳·芬克著,重庆大学出版社,0
691,写作全技术,(日) 斋藤孝著,江西人民出版社,0
692,论文写作、科技交流与审稿:成为杰出科学家的必由之路,戴维·M. 舒尔茨著,气象出版社,0
693,机器翻译,李沐 ... [等],高等教育出版社,0
694,机器翻译,(法) 蒂埃里·波贝著,机械工业出版社,0
695,机器翻译质量深度评析与人机协同翻译,秦颖著,外语教学与研究出版社,0
696,双语语料库的研制与应用,秦洪武著,外语教学与研究出版社,0
697,如东大众哲语选录,潘金环编著,古吴轩出版社,0
698,2017汉语新词语,邹煜主编,商务印书馆,0
699,立德格言,国子著,时事出版社,0
700,中华经典名句解读,杨波编著,兰州大学出版社,0
701,最新庆典贺词,肖淑琛著,中国文史出版社,0
702,格言联璧全鉴,(清) 金兰生著,中国纺织出版社有限公司,0
703,古代名言1000句,主编袁野,中国财富出版社,0
704,成语诗谜,柳忠基著,甘肃文化出版社,0
705,诸子锦言录,钟基编著,中华书局,0
706,现代汉语词汇学,符淮青主编,北京大学出版社,0
707,现代汉语文化词研究,赵明著,中国社会科学出版社,0
708,现代汉语词汇讲义,钱玉莲著,北京大学出版社,0
709,汉语词义在线理解的词汇语用学研究,叶慧君著,外语教学与研究出版社,0
710,中国文化词语教学要略,李仕春等编著,科学出版社,0
711,现代汉语词汇答问,李英著,北京大学出版社,0
712,中华成语典故全鉴,杨敬敬解译,中国纺织出版社有限公司,0
713,风吹哪页读哪页,飞扬文室编著,江苏凤凰文艺出版社,0
714,现代汉语语义韵的理论探索与习得研究:语料库语言学视角,李芳兰著,中央编译出版社,0
715,成语误用辨析200例续编,赵丕杰著,商务印书馆,0
716,成语误用辨析手册,赵丕杰著,商务印书馆,0
717,格言联璧,(清) 金缨编,中州古籍出版社,0
718,汉语成语大词典,主编王兴国,华语教学出版社,0
719,古代汉语语法讲稿,郭锡良著,语文出版社,0
720,古书疑义举例 国故论衡 饮冰室合集,李敖主编,天津古籍出版社,0
721,上古漢語語法史,姚振武著,上海古籍出版社,0
722,清代琉球官话课本新探:对于“得”“替”“给”多功能性的考察,王琳著,南开大学出版社,0
723,语体文法大纲,许地山著,岳麓书社,0
724,汉英句法学比较探索,罗志野主编,哈尔滨工程大学出版社,0
725,篇章视角下汉英完整体体貌构成分析,张立昌著,山东大学出版社,0
726,中国现代语法,王力著,中华书局,0
727,现代汉语附加问句的浮现与发展,闫亚平著,上海教育出版社,0
728,现代汉语反诘语气副词研究,楚艳芳著,中国社会科学出版社,0
729,汉语复句句法语义关系判定研究,吴锋文著,科学出版社,0
730,疑问系统的认知模型与运算,陈振宇著,学林出版社,0
731,问与答:形式和功能的不对称:asymmetry of forms and functions,谢心阳著,社会科学文献出版社,0
732,文案写作与活动策划:理念、技巧、方法与实践,李改霞等编著,清华大学出版社,0
733,大学生学术论文写作入门,林幼菁编著,商务印书馆,0
734,学术论文写作,主编刘桂华,经济管理出版社,0
735,怎样写好心得体会:规程·方法·案例,张福俭主编,中国言实出版社,0
736,申论真题精解及全真模拟试卷:2011-2012升级版,李进主编,中国铁道出版社,0
737,国家公务员录用考试应试辅导及考点预测:2011.申论,国家公务员录用考试辅导丛书编委会编,立信会计出版社,0
738,申论题型分析与写作,主编李如海,中国人民大学出版社,0
739,汉语写作与百科知识,主编刘军平,武汉大学出版社,0
740,期刊论文投稿解惑与写作建议,赵联飞著,重庆大学出版社,0
741,写好论文,郭泽德著,清华大学出版社,0
742,期刊编辑教你写学术论文,主编蒋霞,上海交通大学出版社,0
743,学术论文写作与发表指引,王雨磊著,中国人民大学出版社,0
744,现行行政公文写作,彭海河编著,华中科技大学出版社,0
745,法学论文写作,张力著,高等教育出版社,0
746,艺术文章写作概论,陈池瑜著,山东教育出版社,0
747,怎样起草文稿,李雪勤著,浙江人民出版社,0
748,讲理.第2版,王鼎钧,生活·读书·新知三联书店,0
749,写作是门手艺,刘军强著,广西师范大学出版社,0
750,学术论文写作十讲,徐有富著,北京大学出版社,0
751,公务文书写作指南,陈洪山著,电子工业出版社,0
752,九龙湖校区图书馆存包柜,流通阅览部,流通阅览部,0
753,怎样顺利完成论文:论文写作的策略与技巧,(英) 罗伊娜·默里著,新华出版社,0
754,科技论文规范写作与编辑.第4版,梁福军编著,清华大学出版社,0
755,科技论文规范写作与编辑.第3版,梁福军编著,清华大学出版社,0
756,心理学写作简明指南:基于APA格式规范,(美) 达纳·S·邓恩著,北京联合出版公司,0
757,实证论文写作八讲,刘西川著,北京大学出版社,0
758,学术写作五步法:如何从零完成高质量论文,王树义著,人民邮电出版社,0
759,学术论文写作与发表指引.第2版,王雨磊著,文化发展出版社,0
760,写作是最好的自我投资,Spenser著,中信出版集团股分有限公司,0
761,法学论文写作,何海波,北京大学出版社,0
762,法学论文写作:方法与技巧十讲,中国政法大学法学院编,中国法制出版社,0
763,法科学生必修课:论文写作与资源检索:legal writing and research,凌斌著,北京大学出版社,0
764,应届生求职简历全攻略,应届生求职网编著,上海交通大学出版社,0
765,公文写作教程,总主编裴显生,高等教育出版社,0
766,调研写作分类精讲:新版三十一讲,陈方柱著,中国文史出版社,0
767,社会学论文写作指南.第2版,张静著,上海人民出版社,0
768,如何写学术论文,宋楚瑜著,北京大学出版社,0
769,法学论文写作与资料检索,陈瑞华等著,北京大学出版社,0
770,通识写作:怎样进行学术表达,葛剑雄主编,上海人民出版社,0
771,批判性思维与写作,田洪鋆著,北京大学出版社,0
772,创意写作课,罗晓静，张玉敏主编,华中科技大学出版社,0
773,经验与心得:法学论文指导与写作,《中外法学》编辑部编,北京大学出版社,0
774,公文写作标题结构速查宝典,石头哥编著,人民邮电出版社,0
775,公文写作金句速查宝典:诗词、佳句、场景用法,石头哥编著,人民邮电出版社,0
776,怎样写好文献综述:案例及评述:cases and comments,张黎著,科学出版社,0
777,国际高水平SCI论文写作和发表指南,吴志根著,浙江大学出版社,0
778,新文言尺牍,李子健编著,中国书店,0
779,科学研究的方法:论文写作的逻辑思维,韩乾著,四川人民出版社,0
780,法学写作课,张翔 [著],北京大学出版社,0
781,APA格式:国际社会科学学术写作规范手册,美国心理协会编,重庆大学出版社,0
782,科技报告与书稿写作,王中华编著,中国石化出版社,0
783,如何撰写和发表SCI期刊论文.第2版,(美) 金坤林著,科学出版社,0
784,学做文献综述:释放研究想象力:releasing the research imagination,(英) 克里斯·哈特著,教育科学出版社,0
785,公文写作倾谈,王永鉴著,上海文化出版社,0
786,学术期刊论文写作技巧与实战,郝丹著,人民邮电出版社,0
787,学术期刊论文写作必修课,(美) 温迪·劳拉·贝尔彻著,教育科学出版社,0
788,公文写作实用全书,郭志强编著,电子工业出版社,0
789,应用文写作.第4版,主编徐中玉,高等教育出版社,0
790,申论与应用写作,主编张建勤,外语教学与研究出版社,0
791,党政公文写作速成培训,张宝林主编,中国纺织出版社,0
792,学术灵感写作研究,田富强著,中国社会科学出版社,0
793,论文写作指南:从观点初现到研究完成,熊浩著,复旦大学出版社,0
794,公文写作大手笔:从小笔头到笔杆子,陶然学姐著,北京大学出版社,0
795,公文写作十六讲:实战技巧与范例大全,陈力勇编著,上海教育出版社,0
796,从零开始学公文写作,陶然学姐著,北京大学出版社,0
797,即查即用的公文写作红宝书,大诚著,浙江人民出版社,0
798,六级阅读与写作词汇强化训练手册,大学生英语学习研究团队编著,中国水利水电出版社,0
799,剑桥雅思7官方答案全解析,启德学府海外考试研究中心编著,中国水利水电出版社,0
800,布莱森英语简史,(美) 比尔·布莱森著,中国人民大学出版社,0
801,新题型大学英语四级教程,主编李发根,上海交通大学出版社,0
802,大学英语四级自助考.听力·写作,总主编陈大宝,上海交通大学出版社,0
803,英语专业四级真题解析,主编陈宏俊,大连理工大学出版社,0
804,CET4语法结构一周通,[共同文化工作室编],世界图书出版公司,0
805,大学英语四级考试.写作、翻译与简答分册,康建刚主编,石油工业出版社,0
806,大学英语四级美文夜读100篇,主编宋平明,中国宇航出版社,0
807,大学英语四级考试一本全,主编陈幼平,世图音像电子出版社,0
808,GRE考试官方指南,美国教育考试服务中心,群言出版社,0
809,剑桥雅思全真试题4·5·6最新解析,环球雅思教学研究中心GTRC编著,安徽科学技术出版社,0
810,大学英语四六级考试高分修成手册,智骏英语编著,中国纺织出版社,0
811,托福考试官方指南.第4版,,群言出版社,0
812,GRE考试官方指南,,群言出版社,0
813,赖世雄自然拼读法,赖世雄著,外文出版社,0
814,剑桥雅思8官方答案全解析,启德学府海外考试研究中心编著,中国水利水电出版社,0
815,图解剑桥雅思真题.9,江涛著,石油工业出版社,0
816,剑桥雅思全真试题8原版解析,凉月 ... [等] 编著,中国人民大学出版社,0
817,GRE句子填空对策与技巧,阎传海编著,世界图书出版公司北京公司,0
818,标准美语发音的13个秘诀,Ann Cook著,群言出版社,0
819,An intermediate pronunciation course:ship or sheep?.第3版,Ann Baker编著,北京语言大学出版社,0
820,剑桥国际英语语音入门:an elementary pronunciation course,Ann Baker编著,北京语言大学出版社,0
821,最原声名人名校励志演讲大全,方振宇主编,化学工业出版社,0
822,剑桥国际英语语音在用:自学或课堂用书.中级.intermediate,Marks Hancock编著,北京语言大学出版社,0
823,剑桥国际英语语音在用:自学或课堂用书.初级.elementary,Jonathan Marks编著,北京语言大学出版社,0
824,剑桥国际英语语音在用:自学或课堂用书.高级.advanced,Martin Hewings编著,北京语言大学出版社,0
825,英语辩论与逻辑,李志坤著,华中师范大学出版社,0
826,赖世雄美语音标,赖世雄著,上海文化出版社,0
827,关键30秒:英语即时演讲全攻略,朱子熹编著,中国纺织出版社,0
828,细说英语词源,李奭学著,浙江大学出版社,0
829,法语DELF考试全攻略.B1,编著张敏 ... [等],外语教学与研究出版社,0
830,法语词根漫谈:一场文字与文化的浪漫之旅.第3版,吕玉冬著,东华大学出版社,0
831,法语分类词汇,洛克,上海译文出版社,0
832,快速突破法语词汇5500.第3版,陈建伟主编,东华大学出版社,0
833,1800个最有用的法语词汇.第2版,陈建伟主编,东华大学出版社,0
834,法语词汇揭秘,张文浩编著,东华大学出版社,0
835,TCF TEF词汇词根+词缀+联想记忆法.第2版,曹慧主编,东华大学出版社,0
836,大学法语四级词汇精解与自测.第2版,文慧静主编,东华大学出版社,0
837,法语语法全解.第2版,周力著,东华大学出版社,0
838,法语语法练习800.第3版,陈建伟，卢梦雅主编,东华大学出版社,0
839,你好! 法语同步语法手册.A2,编者何敬业 ... [等],外语教学与研究出版社,0
840,法语基础语法与练习,郭玉梅编著,北京大学出版社,0
841,法语语法系统解读,张德富编著,外语教学与研究出版社,0
842,法语常用动词介词搭配词典,韩祝祥编著,北京语言大学出版社,0
843,全新法语语法,编著 (法) Y. 德拉图尔 ... [等],上海译文出版社,0
844,法语语法全解,周力著,东华大学出版社,0
845,快速突破TCF语法800题.第2版,周力编著,东华大学出版社,0
846,标准法语语法精解与练习,主编张晶,外语教学与研究出版社,0
847,校园法语,原编者肖芬,武汉大学出版社,0
848,金瓶梅,兰陵笑笑生著,人民文学出版社,0
849,循序渐进法语听说:中级:niveau intermediaire,原著 (法) Anne Akyuz ... [等],外语教学与研究出版社,0
850,法语应急口语8000句:1分钟找到你想要说的话,书友外语教研组编著,机械工业出版社,0
851,圣女贞德,原作者Lucia Bonato,上海外语教育出版社,0
852,美女与野兽,原作者Jeanne-Marie Leprince de Beaumont,上海外语教育出版社,0
853,面试法语百问妙答,曹慧编著,上海交通大学出版社,0
854,佐罗,原作者Johnston McCulley,上海外语教育出版社,0
855,图说法语幽默,文慧静主编,东华大学出版社,0
856,生活中最常说的法语900句,余春红编著,中国宇航出版社,0
857,我的第一本德语单词本,(英) 希瑟·埃默里编著,同济大学出版社,0
858,德语图解字典,希伯伦股份有限公司,外文出版社,0
859,我的第一本德语图典,(英) 海伦·戴维斯编著,同济大学出版社,0
860,白马骑士,Theodor Storm [著],上海外语教育出版社,0
861,德语趣味阅读,徐亮编著,世界图书出版公司,0
862,围城,钱钟书著,外语教学与研究出版社,0
863,迈向德国第一步:德国入籍测试,主编徐琼星，刘为,武汉大学出版社,0
864,俄罗斯语言学通史,致友昌主编,上海外语教育出版社,0
865,俄语词汇学与构词学,张锐主编,黑龙江大学出版社,0
866,现代俄语词汇的多义性研究,吴哲著,商务印书馆,0
867,俄语隐性语法范畴研究,白庆华著,江苏人民出版社,0
868,现代俄语复合句学,李勤等著,上海外语教育出版社,0
869,俄语姓名译名手册.第2版,新华通讯社译名室编,商务印书馆,0
870,新俄汉词典.增订版,辽宁大学外语系《新俄汉词典》增订版编写组编,辽宁人民出版社,0
871,汉俄大词典,上海外国语大学俄语系《汉俄大词典》编写组编,上海外语教育出版社,0
872,俄语常用词词典,主编潘国民,黑龙江大学出版社,0
873,大俄汉词典,黑龙江大学俄语语言文学研究中心辞书研究所编,商务印书馆,0
874,汉俄翻译词典,张宝梁主编,商务印书馆,0
875,俄语新手一学就会:白金畅销版,陈新编著,中国宇航出版社,0
876,零起点1秒说俄语,张道静编著,中国宇航出版社,0
877,新日本语能力考试专项训练.N2读解,本册主编余祖发,上海交通大学出版社,0
878,新日本语能力考试专项训练.N1读解,本册主编金玺罡,上海交通大学出版社,0
879,最新日本语能力考试模拟试题:4级,王永东主编,东华大学出版社,0
880,最新日本语能力考试模拟试题:3级,王永东主编,东华大学出版社,0
881,写给大家的日语史,(日) 山口仲美著,北京大学出版社,0
882,学标准日本语过N5,主编肖辉,大连理工大学出版社,0
883,学标准日本语过N4,主编肖辉,大连理工大学出版社,0
884,N5新日本语能力测试应考秘笈,蔡丰琪编著,中国纺织出版社,0
885,超强大·新日本语能力考试N1总复习,编著徐曙... [等],华东理工大学出版社,0
886,新日本语能力考试N1一本通,(韩) 李敏姃著,中国纺织出版社,0
887,战胜新日本语能力测试N5考前总整理,编著林士钧,上海译文出版社,0
888,日语能力考试文法总汇,叶庆主编,学林出版社,0
889,日本语能力测试2级读解35天特训班,主编柴红梅,外文出版社,0
890,新日本语能力测试高分秘籍.N2文法,编著柴红梅,外文出版社,0
891,战胜新日本语能力测试N2+N3考前总整理,编著林士钧,上海译文出版社,0
892,N3模考:新日语能力考试考前对策,新JLPT研究会著,华东理工大学出版社,0
893,N1模考:新日语能力考试考前对策,新JLPT研究会著,华东理工大学出版社,0
894,日本语能力测试1级2级听解35天特训班,编著柴红梅,外文出版社,0
895,新日本语能力测试考前21天循环练,姜微 ... [等] 编著,外语教学与研究出版社,0
896,新日本语能力测试N1应用读解指导与实践,编著陈太勇,大连理工大学出版社,0
897,大学日语四六级考试指南与真题,全国大学日语考试设计组编著,华东理工大学出版社,0
898,一起上50音吧！,小池多津编著,外文出版社,0
899,日语五十音字帖,叶平亭著,商务印书馆,0
900,新完全掌握日语能力考试N1级汉字,石井怜子 ... [等] 著,北京语言大学出版社,0
901,汉字日本,(日) 茂吕美耶著,当代中国出版社,0
902,新完全掌握日语能力考试N2级汉字,石井怜子 ... [等] 著,北京语言大学出版社,0
903,新日语能力考试词汇分类记忆红宝书.N2级,主编金利,北京语言大学出版社,0
904,新日语能力考试词汇分类记忆红宝书.N1级,主编金利,北京语言大学出版社,0
905,新日本语能力考试专项训练.N4/N5文字词汇,本册主编于杨,上海交通大学出版社,0
906,日语能力考试过级达人!:汉字详解N2,(韩) 李致雨编著,外语教学与研究出版社,0
907,日本留学考试8000单词随身记,日本行知学园留考单词书企划组编,华东理工大学出版社,0
908,场景式300主题短文7500日语单词完全掌握,戴文捷编著,华东理工大学出版社,0
909,日语翻译资格考试二级词汇,朱丽颖 ... [等] 编著,大连理工大学出版社,0
910,新日本语能力测试周计划量身定做!.全面解密N2词汇,丛书主编韩兰灵,大连理工大学出版社,0
911,新完全掌握日语能力考试N2级词汇,伊能裕晃 ... [等] 著,北京语言大学出版社,0
912,日语语用学:现象与分析,刘小珊著,商务印书馆,0
913,我爱背单词:最常用的日语3000单词一学就会,谢禹泽编著,中国纺织出版社,0
914,日语国际能力测试.1级文字·词汇全攻略,丛书主编曹金波,大连理工大学出版社,0
915,新日语能力考试全程训练.词汇通关篇,汪俊文编,商务印书馆,0
916,新日本语能力考试N2文法:详解+练习,主编许小明，Reika,华东理工大学出版社,0
917,日语动词探究.第2版,郭永刚著,东北林业大学出版社,0
918,日本语情景句型辞典,日本ASK出版编辑部编,商务印书馆,0
919,日语长难句精解,武德庆编著,武汉大学出版社,0
920,日语古典文法,徐曙编著,华东理工大学出版社,0
921,日语能力测试应试指导.语法1级2级,汤一平编著,上海科学技术文献出版社,0
922,初级日语语法精解,(日) 主编松冈弘,外语教学与研究出版社,0
923,中高级日语语法精解,著 (日) 庵功雄 ... [等],外语教学与研究出版社,0
924,日语语法新思维.修订版,安宁著,北京语言大学出版社,0
925,日语拟声拟态副词词典,主编金慕箴,商务印书馆,0
926,新编日本语能力考试2级语法训练,主编王玉珊,东华大学出版社,0
927,最新日语实用句型大全:有这本就够了,编著花文勰,华东理工大学出版社,0
928,新日本语能力测试N2语法指导与实践.第2版,崔香兰总主编,大连理工大学出版社,0
929,日本語論文·しポートの書き方,(日) 平山 崇编著,南京大学出版社,0
930,中日同声传译技能技巧训练,主编杨玲,北京外语音像出版社,0
931,中日同声传译技能技巧训练:学习辅导用书,主编杨玲,外语教学与研究出版社,0
932,实用日汉翻译教程,张鸿成 ... [等] 编著,上海译文出版社,0
933,中译日笔译教程,徐琼编著,知识产权出版社,0
934,日汉互译基础与技巧,常波涛主编,大连理工大学出版社,0
935,論文の書き方,清水幾太郎著,岩波書店,0
