图书ID,书名,作者,出版社,是否借出
85,直觉的力量:科学与工程问题中的简化艺术:mastering complexity,(美) 桑乔伊·马哈詹著,上海科学技术出版社,0
86,伟大创意的诞生:创新自然史,(美) 史蒂文·约翰逊著,浙江科学技术出版社,0
87,清晰思考,(英)汤姆·查特菲尔德著,浙江教育出版社,0
88,批判性思维入门,(英) 马丁·科恩著,山西人民出版社,0
89,让思想冲破牢笼:一堂震撼人心的创新思维课,王健著,北京大学出版社,0
90,创意,(美) 詹姆斯· 韦伯· 扬著,中国海关出版社,0
91,思维导图从入门到精通,宋莹著,北京大学出版社,0
92,终身成长:重新定义成功的思维模式:how we can learn to fulfill our potential,(美) 卡罗尔·德韦克著,江西人民出版社,0
93,转折点:创造性的本质:the nature of creativity,(美) 陈超美著,科学出版社,0
94,清晰思考:将平凡时刻转化为非凡成果:turding ordinary moments into extraordinary results,(加) 沙恩·帕里什著,人民邮电出版社,0
95,中国人的思维批判,楚渔著,人民出版社,0
96,我的第一本逻辑思考入门,(日) 西村克已著,广东人民出版社,0
97,逆向思维,张星星著,中国商业出版社,0
98,创造思维方法训练.第2版,刘道玉著,武汉大学出版社,0
99,逻辑思考的100个关键:脑hack大全,(日) 茂木健一郎著,中国友谊出版公司,0
100,思维导图完整手册,(英) 东尼·博赞著,中信出版集团,0
101,暗时间,刘未鹏著,电子工业出版社,0
102,快行动，慢思考:快节奏生活下的自我修复:200 ways to improve your life,(美) 迪安·德尔·塞斯托著,北京联合出版公司,0
103,逻辑思维极简工作法:麦肯锡教你快速解决难题,(日) 山梨广一著,中国友谊出版公司,0
104,培养你的逻辑脑,宋欣桐著,中国华侨出版社,0
105,你只是看上去会思考,(日) 深泽真太郎著,古吴轩出版社,0
106,认知觉醒,(英) 保罗·斯隆著,中国友谊出版公司,0
107,思维导图高效工作法,陈苏娟著,中国友谊出版公司,0
108,转念:发现并感知生命的另一种可能,(美) 拜伦·凯蒂著,天津人民出版社,0
109,规范性的来源,(美) 克里斯蒂娜·科尔斯戈德著,上海译文出版社,0
110,现代世界中的伦理规范:语言、事实、理由与行动,李晔著,广西师范大学出版社,0
111,坎贝尔生活美学:从俗世的挑战到心灵的深度觉醒,(美) 戴安娜·奥斯本编,浙江人民出版社,0
112,生活美学十五讲,张轶著,北京师范大学出版社,0
113,生活中的美学,刘悦笛著,清华大学出版社,0
114,成就最美好的自己:黑玛亚身心灵美丽策划书,黑玛亚著,中国青年出版社,0
115,你的形象价值千万:做最好的自己,桑楚主编,北京联合出版公司,0
116,你的形象价值百万,(加) 英格丽·张著,中信出版社,0
117,用形象征服所有人,白山编著,北京工业大学出版社,0
118,形象的能量:形象训练大师眼中的设计法则,苏山编著,中华工商联合出版社,0
119,形象美学,黄焱冰著,广西师范大学出版社,0
120,走向自然的休闲美学:以苏轼为个案的考察,陆庆祥著,浙江大学出版社,0
121,末世太阳:一个墨西哥印第安城镇的变迁、动荡与抗争,张青仁著,商务印书馆,0
122,把自己作为方法,项飙，吴琦著,上海文艺出版社,0
123,田野调查技术手册.第2版,英国皇家人类学会编,复旦大学出版社,0
124,技术与时间,(法国) 贝尔纳·斯蒂格勒著,译林出版社,0
125,从解构到全球化批判:斯皮瓦克读本,佳亚特里·斯皮瓦克著,北京大学出版社,0
126,后殖民理性批判:正在消失的当下的历史,(印度) 佳亚特里·斯皮瓦克著,译林出版社,0
127,霍米·巴巴的后殖民理论研究,生安锋著,北京大学出版社,0
128,他者的声音:反思后殖民理论的二元结构:reflection on the dualistic structure of postcolonialism,张春晓著,北京大学出版社,0
129,和平学,刘成著,南京出版社,0
130,必须保卫社会,(法) 米歇尔·福柯著,上海人民出版社,0
131,修复性正义,(美) 霍华德·泽尔著,南京师范大学出版社,0
132,论战争与和平,(法) 多米尼克·德维尔潘著,中信出版集团股份有限公司,0
133,国家为何而战？:过去与未来的战争动机:past and future motives for war,(美) 理查德·内德·勒博著,上海人民出版社,0
134,韩国工人:阶级形成的文化与政治,(韩) 具海根著,社会科学文献出版社,0
135,蒙尘缪斯的微光:从古代到启蒙时代的博学女性:oppineita eurooppalaisia nasia antiikista valistukseen,(芬) 马里奥·T. 努尔米宁著,人民邮电出版社,0
136,24/7:晚期资本主义与睡眠的终结:Late capitalism and the ends of sleep,(美) 乔纳森·克拉里 (Jonathan Crary) 著,中信出版社,0
137,癫狂的时尚,阳文丽著,凤凰出版社,0
138,身份与暴力:命运的幻象:the illusion of destiny,阿马蒂亚·森著,中国人民大学出版社,0
139,中国少数民族地区社会发展与族际交往,马戎著,社会科学文献出版社,0
140,思想中国:现代性民族国家重构的前沿问题,吴励生著,商务印书馆,0
141,华侨华人研究报告.2015.2015,主编贾益民,社会科学文献出版社,0
142,在地化与文化传承:第一届婆罗洲华人国际学术研讨会论文集,主编石沧金,暨南大学出版社,0
143,迁徙、家乡与认同:文化比较视野下的海外华人研究,陈志明著,商务印书馆,0
144,泰国华侨华人史话,叶曙明著,广东教育出版社,0
145,和谐世界之桥:华侨华人与中国国家软实力,陈奕平主编,暨南大学出版社,0
146,华人的文化认同与自信:基于心理、行为的研究,尚会鹏著,中信出版集团股份有限公司,0
147,漂流:华人移民的身份混成与文化整合,陈国贲著,暨南大学出版社,0
148,他者中的华人:中国近现代移民史:emigration in modern times,(美) 孔飞力著,江苏人民出版社,0
149,中国宗教与宗教学,晏可佳主编,上海人民出版社,0
150,基层乡村和社区治理研究,龚卫东著,中国农业出版社,0
151,乡镇治理与政府制度化,赵树凯著,商务印书馆,0
152,乡村治理现代化研究,徐桐柱著,中国社会科学出版社,0
153,枫桥经验与乡村治理,主编吴文革,安徽科学技术出版社,0
154,村治模式:若干案例研究,贺雪峰著,山东人民出版社,0
155,乡村治理的社会基础,贺雪峰著,三联书店,0
156,村庄内源性组织与乡村治理:浙东刘村老人会的人类学研究 (1990-2020),阮云星 ... [等] 著,上海社会科学院出版社,0
157,北京国际形象与对外文化传播,曲茹主编,清华大学出版社,0
158,跨越边界的社区:北京“浙江村”的生活史.修订版,项飙著,生活书店出版有限公司,0
159,跨越边界的社区:北京“浙江村”的生活史,项飚著,生活·读书·新知三联书店,0
160,北京政治文明建设研究报告,北京政治文明建设研究中心编,北京联合出版公司,0
161,立法学,周祖成主编,中国法制出版社,0
162,立法学,主编曾粤兴,清华大学出版社,0
163,立法过程中的公共参与,李林主编,中国社会科学出版社,0
164,论立法与法学的当代使命,(德)弗里德里希·卡尔·冯·萨维尼著,中国法制出版社,0
165,立法学:原理、程序、制度与技术,杨临宏著,中国社会科学出版社,0
166,授权立法的法理思考,邓世豹著,中国人民公安大学出版社,0
167,立法的尊严,(美) 杰里米·沃尔德伦著,华东师范大学出版社,0
168,法治秩序的建构.增补版,季卫东著,商务印书馆,0
169,法律社会学:理论与应用:theory and application,主编王三秀,华中科技大学出版社,0
170,法社会学,(德) 尼克拉斯·卢曼著,上海人民出版社,0
171,算法社会中的法律沉思,汪雄主编,中国政法大学出版社,0
172,卢曼法社会学理论研究:以法律与社会的关系问题为中心,杜健荣著,法律出版社,0
173,法律制度的功能与偏离:无因管理制度论:on negotiorum gestio,万方著,中国法制出版社,0
174,迈向法治,(美) 詹姆斯·E. 弗莱明编,浙江大学出版社,0
175,议论与法社会学:通过沟通寻找最大公约数的研究,季卫东编著,译林出版社,0
176,法社会学信札,刘思达著,北京大学出版社,0
177,法理学:法律哲学与法律方法:the philosophy and method of the law,(美) E. 博登海默著,中国政法大学出版社,0
178,法理学.第2版,卓泽渊著,法律出版社,0
179,法哲学,(英) 约翰·菲尼斯著,中国政法大学出版社,0
180,你看我说:一个法学者的人间情味:a jurist feels the world,王人博著,北京大学出版社,0
181,法律行为论,杨代雄著,北京大学出版社,0
182,法哲学,(德) 莱因荷德·齐佩利乌斯著,北京大学出版社,0
183,法理四篇,喻中著,中国法制出版社,0
184,法的思辨与实证,谢晖著,法律出版社,0
185,原始人的法:法律的动态比较研究.第2版,霍贝尔,法律出版社,0
186,论利益均衡的法律调控,姚文胜著,中国社会科学出版社,0
187,哈特: 法律的性质,(美) 马修·克雷默著,上海人民出版社,0
188,法理泛在:法理主题致辞集,张文显著,法律出版社,0
189,权利哲学史,(美) 加里·B. 赫伯特著,华东师范大学出版社,0
190,经济、社会和文化权利的法理学研究,杨春福等著,法律出版社,0
191,法是什么?:法哲学的基本问题:grundfragen der rechtsphilosophie,(德) 诺伯特·霍斯特著,中国政法大学出版社,0
192,立法之路:本体形上法哲学与国家政治思想研究,徐龙飞著,商务印书馆,0
193,法律系统的自我反思:功能分化时代的法理学,泮伟江著,商务印书馆,0
194,法理卮言:法哲学视野中的法或法律:from the perspective of the philosophy of ius or lex,周静著,社会科学文献出版社,0
195,法律与道德的性质研究,(瑞典) 阿克塞尔·黑格斯特罗姆著,商务印书馆,0
196,法律的权威:关于法律与道德论文集:essays on law and morality.第2版,(英) 约瑟夫·拉兹著,法律出版社,0
197,“法的渊源”意味着什么？,雷磊著,中国政法大学出版社,0
198,法律制度:对法律理论的一种解说,(英)尼尔·麦考密克著,法律出版社,0
199,历史视域下的法哲学,(德) 卡尔·乔基姆·弗里德里希著,商务印书馆,0
200,法哲学导引,(德) 拉德布鲁赫著,商务印书馆,0
201,读懂法理学,(英) 雷蒙德·瓦克斯著,广西师范大学出版社,0
202,法理学,雷磊著,中国政法大学出版社,0
203,理由与权威:约瑟夫·拉兹的法律规范性理论,金韬著,法律出版社,0
204,法律、自由与道德,(英) H. L. A. 哈特著,商务印书馆,0
205,富勒法哲学,吴彦主编,商务印书馆,0
206,古典法学的风格,黄涛著,东方出版中心,0
207,法律现实主义新论,陆宇峰著,法律出版社,0
208,例外状态的法政哲学:庚子六题,谢晖著,知识产权出版社,0
209,法律哲学概论,(美) 威廉·欧内斯特·霍金著,天津人民出版社,0
210,人们为什么遵守法律,(美) 汤姆·R. 泰勒著,中国法制出版社,0
211,原则、效力与法律的概念,刘叶深著,中国政法大学出版社,0
212,法律与道德,(波) 列昂·彼得拉日茨基著,商务印书馆,0
213,自然化法学:美国法律现实主义和法哲学中的自然主义文集:essays on American legal realism and naturali...,(美) 布莱恩·莱特著,商务印书馆,0
214,英美司法方法释义,李培锋著,知识产权出版社,0
215,法之力:英美法系经典案例详解:navigating established common law cases,(新西兰) 霍建强著,中国政法大学出版社,0
216,法学阶梯,(古罗马) 优士丁尼著,中国政法大学出版社,0
217,英美法.新版,(日) 望月礼二郎著,商务印书馆,0
218,英美法审判程序与司法推理,高凌云编著,复旦大学出版社,0
219,罗马法教科书.2017年校订版,(意) 彼德罗·彭梵得著,中国政法大学出版社,0
220,英美法原理,(美) 阿瑟·古恩著,厦门大学出版社,0
221,普通法简史:a brief history of the common law,(英) 哈利·波特著,北京大学出版社,0
222,英美法导论,王泽鉴主编,北京大学出版社,0
223,罗马法与欧洲法,何勤华等著,人民出版社,0
224,共产主义的法律理论,(奥) 凯尔森著,中国法制出版社,0
225,比较法.修订版,(日) 大木雅夫著,法律出版社,0
226,中西法律文化比较研究,张中秋著,南京大学出版社,0
227,法学的圣殿:西方法律思想与法学流派,徐爱国著,中国法制出版社,0
228,疯癫与文明:理性时代的疯癫史.第5版,(法) 米歇尔·福柯著,三联书店,0
229,自然社会:自然法与现代道德世界的形成,李猛著,生活·读书·新知三联书店,0
230,规训与惩罚:监狱的诞生-第3版,(法) 米歇尔·福柯著,三联书店,0
231,规训与惩罚:监狱的诞生.第5版,(法) 福柯著,生活·读书·新知三联书店,0
232,疯癫与文明:理性时代的疯癫史.第2版,(法) 米歇尔·福柯著,三联书店,0
233,西方法治思想精义,史彤彪著,黑龙江教育出版社,0
234,西方法律思想简史,(爱尔兰) 约翰·莫里斯·凯利著,法律出版社,0
235,法律的经济分析.第2版,理查德·波斯纳,法律出版社,0
236,西方法律思想史.第3版,主编严存生,法律出版社,0
237,西方法律思想史,何勤华主编,复旦大学出版社,0
238,外国法制史.第5版,主编何勤华,法律出版社,0
239,西方法律思想史.第2版,主编谷春德,中国人民大学出版社,0
240,古代法,(英) 亨利·梅因著,法律出版社,0
241,疯癫与文明:理性时代的疯癫史,(法) 米歇尔·福柯著,三联书店,0
242,人权与自然法,(法) 雅克·马里旦著,商务印书馆,0
243,影响人类历史的30场审判,余世燕编著,中国友谊出版公司,0
244,中华法系的回顾与前瞻,张晋藩主编,中国政法大学出版社,0
245,中国法思想史新编,马小红著,南京大学出版社,0
246,中西法律传统,中南财经政法大学法律史研究所编,中国政法大学出版社,0
247,中国法律史,主编朱勇,法律出版社,0
248,法治源流:东方与西方,夏勇著,社会科学文献出版社,0
249,西方法学史纲.第4版,何勤华著,商务印书馆,0
250,自然法论文集,(英) 洛克著,商务印书馆,0
251,以眼还眼:犯罪与惩罚简史:a global history of crime and punishment,(美) 米切尔·P.罗斯著,中信出版社,0
252,法律的故事:最新最全译本,(美) 约翰·麦克西·赞恩著,中国法制出版社,0
253,共和国六十年法学论争实录.诉讼法卷,江平总主编,厦门大学出版社,0
254,共和国六十年法学论争实录.宪法卷,江平总主编,厦门大学出版社,0
255,西方法律思想史.第2版,何勤华主编,复旦大学出版社,0
256,德沃金价值统合论研究,顾松柏著,武汉大学出版社,0
257,古代法,(英) 亨利·萨姆奈·梅因著,九州出版社,0
258,身体与酷刑:naissance de la prison,(法) 米歇尔·福柯著,商务印书馆,0
259,西方法律的历史,(美)约翰·梅西·赞恩著,陕西师范大学出版社,0
260,西方法学史纲.第3版,何勤华著,商务印书馆,0
261,自然法与道德哲学:从格老秀斯到苏格兰启蒙运动:from Grotius to the Scottish Enlightenment,(丹) 努德·哈孔森著,浙江大学出版社,0
262,自然法的复兴,(美) 罗斯科·庞德著,商务印书馆,0
263,作为法律价值的整体性:以德沃金整体性法律观为中心,樊安著,法律出版社,0
264,法治国作为中道:汉斯·凯尔森法哲学与公法学论集,张龑编译,中国法制出版社,0
265,自由主义法学,王振东著,法律出版社,0
266,自然法学,鄂振辉著,法律出版社,0
267,功利主义法学,杨思斌著,法律出版社,0
268,法西斯主义法学思潮,史广全著,法律出版社,0
269,新黑格尔主义法学,卓英子著,法律出版社,0
270,德国古典哲理法学,曹磊著,法律出版社,0
271,纯粹法学说:Mit einem Anhang:Das Problem der Gerechtigkeit.第2版,(奥) 汉斯·凯尔森著,法律出版社,0
272,自然法与财产权理论:从格老秀斯到休谟:Grotius to Hume,(澳) 斯蒂芬·巴克勒著,法律出版社,0
273,公法与政治理论,(英) 马丁·洛克林著,商务印书馆,0
274,批判法理与多元现代性:罗伯特·昂格尔法学思想研究初步,蒋余浩著,当代世界出版社,0
275,西方法哲学问题史研究,严存生著,中国法制出版社,0
276,中国古代法理学,王振先著,厦门大学出版社,0
277,魏玛国家学,吴彦主编,商务印书馆,0
278,中华法系之精神,何勤华 ... [等] 著,上海人民出版社,0
279,自然法与政治法原理,(瑞士) 让-雅克·布拉马克著,商务印书馆,0
280,人的尺度:西方法律传统中的社会思想,唐纳德·凯利著,当代世界出版社,0
281,洞穴公案:中华法系的思想实验:a thought experiment of the traditional Chinese legal culture,秦涛著,广西师范大学出版社,0
282,法律简史:人类制度文明的深层逻辑:evolution of human institutions,桑本谦著,三联书店,0
283,市民法理论与法西斯主义:卡尔·施米特理论的社会功能与现实影响:Zur Sozialen Funktion Und Aktuellen W...,(德) 英格博格·毛斯著,上海人民出版社,0
284,拉德布鲁赫公式,雷磊编,中国政法大学出版社,0
285,中国法理学发展史,李龙著,武汉大学出版社,0
286,法律正当性观念的转变:以近代西方两大法学派为中心的研究,刘杨著,北京大学出版社,0
287,人类正义史:从古希腊到20世纪，看人类追求公平正义的艰难历程！,(韩) 朴炯南著,文汇出版社,0
288,圆圈正义:作为自由前提的信念:= The faith as premise of freedom,罗翔著,中国法制出版社,0
289,割据的逻辑:中国法律服务市场的生态分析.第2版,刘思达著,上海三联书店,0
290,是非与曲直:个案中的法理,苏力著,北京大学出版社,0
291,你最想知道的法律常识大全集:你日常生活中的法律常识百科全书,维权帮著,中国法制出版社,0
292,法治及其本土资源,苏力著,中国政法大学出版社,0
293,法治及其本土资源.第3版,苏力著,北京大学出版社,0
294,立法法,刘莘主编,北京大学出版社,0
295,法律适用学,胡建淼主编,浙江大学出版社,0
296,何以法大,黄进著,中国政法大学出版社,0
297,中国的新型正义体系:实践与理论:practice and theory,黄宗智著,广西师范大学出版社,0
298,发展、人权与法治研究:“法治中国”的文化证立,主编汪习根,武汉大学出版社,0
299,立法技术原理,张越著,中国法制出版社,0
300,国家主义抑或人本主义:转型中国法律运行研究,张洪涛著,人民出版社,0
301,公共法哲学:转型中国的法治与正义,孙国东著,中国法制出版社,0
302,中国法学向何处去:建构“中国法律理想图景”时代的论纲,邓正来著,商务印书馆,0
303,谁之全球化？何种法哲学？:开放性全球化观与中国法律哲学建构论纲,邓正来著,商务印书馆,0
304,公法 / 私法二元区分的反思,金自宁著,北京大学出版社,0
305,法治的细节,罗翔著,云南人民出版社,0
306,法治的谜面.增订版,刘练军著,知识产权出版社,0
307,我国国家立法权的内部配置研究,周宇骏著,法律出版社,0
308,天下大案:2000-2010年中国十大名案解密,史韦编著,九州出版社,0
309,记载中国法治进程之典型案件:于欢案,胡云腾主编,人民法院出版社,0
310,法治及其本土资源.修订版,苏力著,中国政法大学出版社,0
311,不可不知的1388个法律常识.第7版,徐宪江主编,中国法制出版社,0
312,法治及其本土资源.第4版,苏力著,北京大学出版社,0
313,中国共产党百年法治大事记:1921年7月-2021年7月,中央全面依法治国委员会办公室,人民出版社,0
314,法律解释的中国范式:造法性司法解释研究:a study on law-making judicial interpretation,洪浩著,北京大学出版社,0
315,新编中华人民共和国法律法规全书.2023.2023.第16版,法律出版社法规中心编,法律出版社,0
316,大学生应知应会法律常识,《大学生应知应会法律常识》编写组编,中国法制出版社,0
317,受益一生的法律常识,维权帮著,中国法制出版社,0
318,法家的现代性,喻中著,法律出版社,0
319,规范、秩序与公法,赵娟著,中国社会科学出版社,0
320,法律责任设计原理,张越著,中国法制出版社,0
321,迈向法治:从法律体系到法治体系.第2版,王利明著,中国人民大学出版社,0
322,网络与人工智能法学,主编王建文,法律出版社,0
323,信赖保护原则的中国化建构,胡若溟著,中国社会科学出版社,0
324,法律原则研究,胡建淼主编,中国社会科学出版社,0
325,刑民关联案件的法理展开,蔡福华著,法律出版社,0
326,体系解释方法运用研究,杨铜铜著,中国社会科学出版社,0
327,中国乡村治理法治化的实践路径研究,陈寒非著,中国政法大学出版社,0
328,新时代法治乡村建设的制度探索与理性构建研究,彭澎著,中南大学出版社,0
329,价值重建与规范选择:中国法制现代化沉思,谢晖著,法律出版社,0
330,法律的悖论,罗翔著,云南人民出版社,0
331,大学生以案释法读本,全国“八五”普法学习读本编写组编,法律出版社,0
332,法治的社会维度与现代性视界,马长山著,中国社会科学出版社,0
333,经由法律的正义,刘品新著,清华大学出版社,0
334,中国的法治之路,卓泽渊著,外文出版社有限责任公司,0
335,我国改革开放40年立法成就概述,全国人大常委会法制工作委员会研究室编,法律出版社,0
336,法治思维,陈保中主编,上海人民出版社,0
337,法治思维与风险行政防控,周良金著,合肥工业大学出版社,0
338,中国司法先例与案例指导研究制度研究,张骐等著,北京大学出版社,0
339,最高人民法院 最高人民检察院指导性案例.4版,人民法院出版社,人民法院出版社,0
340,中国案例指导制度的构建和应用,苏泽林主编,法律出版社,0
341,民间法的视野,谢晖著,法律出版社,0
342,大、小传统的沟通理性:民间法初论.增订版,谢晖著,法律出版社,0
343,案例指导与法律方法,王彬著,人民出版社,0
344,指导性案例如何参照:历史经验与现实应用:historical experience and practical application,孙光宁等著,知识产权出版社,0
345,中国的立法体制研究,陈俊等著,经济科学出版社,0
346,部门法理论源流及其对我国法治实践的影响,张钢著,上海交通大学出版社,0
347,新中国法治建设70年,蒋传光著,中国法制出版社,0
348,立法的法理研究,汪全胜著,光明日报出版社,0
349,依法治国理论和实现途径,张振芝著,社会科学文献出版社,0
350,历史法学视野中的转型中国社会治理,张学博著,中国政法大学出版社,0
351,当代中国的社会规范和社会秩序:身边的法,高其才主编,法律出版社,0
352,法制现代化的挑战,公丕祥,武汉大学出版社,0
353,当代中国法治的分析与建构.第2版,泮伟江著,中国法制出版社,0
354,"社会资本重建与法治秩序生成:对""法治中国""进路的一种分析范式",郭海霞著,法律出版社,0
355,中国法理学的探索,朱景文著,法律出版社,0
356,新时代人权司法保障研究,蒋银华著,社会科学文献出版社,0
357,法典化的理论与实践:中国与波兰的比较:the Chinese and Polish perspectives,陈甦，(波兰)弗朗西斯科·龙骧·柏瑞尔(Franciszek Longchamps de Berie)，(波兰)彼得·格尔则布克(Piot...,社会科学文献出版社,0
358,学校法律问题案例全解,何周主编,法律出版社,0
359,法治社会建设实施纲要:2020-2025年,,中国法制出版社,0
360,中国案例指导制度:理论·实践: 判例研读沙龙.Ⅱ,黄卉... [等] 编,上海三联书店,0
361,2020法治观察.第一辑,周秉键主编,中国民主法制出版社,0
362,中国法学向何处去:建构“中国法律理想图景”时代的论纲.第2版,邓正来著,商务印书馆,0
363,中国大数据法治发展报告,李爱君主编,法律出版社,0
364,新时代农村基层治理法治化研究,洪碧华著,中国原子能出版社,0
365,苏联法学理论对新中国法学的影响,胡志民著,人民出版社,0
366,生活中的法:当代中国习惯法素描,高其才著,清华大学出版社,0
367,法律与说理,梁治平著,商务印书馆,0
368,迈向法治主义,陆幸福著,法律出版社,0
369,行政法学视野下的公法权利理论问题研究,徐以祥著,中国人民大学出版社,0
370,新时代的全面依法治国,当代中国研究所编著,当代中国出版社,0
371,大国立法的逻辑,封丽霞著,商务印书馆,0
